Order, Line, Assigned Group, Start Date, Finish day, Ship day, Assembly Time, Status 
77877,1,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-22,7.0,6,
73393,21,12,2019-02-04 00:00:00,2019-02-05 00:00:00,2019-01-23,288.9,6,
73393,22,12,2019-02-05 00:00:00,2019-02-05 00:00:00,2019-01-23,110.0,6,
77541,1,15,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-11,202.44,1,
76694,1,15,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-17,530.0,1,
76694,3,15,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-17,39.69,1,
76694,4,15,2019-02-02 00:00:00,2019-02-03 00:00:00,2019-01-17,101.43,1,
76694,5,15,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-17,4.46,1,
76694,6,15,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-17,22.7,1,
66221,1,15,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-23,33.0,6,
66221,2,15,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-23,214.5,6,
66221,3,15,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-23,210.0,6,
76872,2,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-15,24.0,1,
76872,3,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-15,12.0,1,
76872,4,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-15,16.0,1,
76872,5,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-15,42.0,1,
76872,6,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-15,12.0,1,
76872,8,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-15,12.0,1,
76872,9,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-15,18.0,1,
76872,10,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-15,32.0,1,
76872,11,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-15,32.0,1,
77753,1,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-15,60.5,2,
75025,1,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-16,23.6,2,
75025,2,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-16,60.2,2,
75636,1,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-16,35.0,2,
75636,2,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-16,84.0,2,
75636,3,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-16,5.0,2,
75636,4,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-16,28.0,2,
71102,1,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-17,40.82,2,
71102,2,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-17,45.06,2,
78278,1,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-23,10.0,6,
78278,2,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-23,9.2,6,
78278,3,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-23,187.5,6,
76291,1,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-28,41.4,6,
76291,2,18,2019-02-02 00:00:00,2019-02-03 00:00:00,2019-01-28,43.0,6,
76291,3,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,32.5,6,
76291,4,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,31.5,6,
76291,5,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,65.0,6,
76291,6,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,20.8,6,
76291,7,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,239.2,6,
76291,8,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,18.4,6,
76291,9,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,13.0,6,
76291,10,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,59.4,6,
76291,11,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,18.4,6,
76291,12,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,41.8,6,
