Order, Line, Assigned Group, Start Date, Finish day, Ship day, Assembly Time, Status 
78491,1,15,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-06 00:00:00,100.8,Machine Shop Finished,
78529,1,15,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-07 00:00:00,7.0,Machine Shop Finished,
78529,2,15,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-07 00:00:00,12.0,Machine Shop Finished,
78529,3,15,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-07 00:00:00,75.0,Machine Shop Finished,
78529,4,15,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-07 00:00:00,5.0,Machine Shop Finished,
78534,1,15,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-12 00:00:00,336.0,Machine Shop Started,
78534,2,15,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-12 00:00:00,91.2,Machine Shop Started,
78729,1,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-07 00:00:00,203.0,Machine Shop Finished,
72906,2,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-07 00:00:00,3.86,Machine Shop Finished,
72906,3,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-07 00:00:00,20.58,Machine Shop Finished,
72906,4,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-07 00:00:00,7.3,Machine Shop Finished,
72906,5,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-07 00:00:00,81.32,Machine Shop Finished,
72906,6,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-07 00:00:00,18.34,Machine Shop Finished,
72906,7,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-07 00:00:00,18.34,Machine Shop Finished,
72906,8,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-07 00:00:00,16.07,Machine Shop Finished,
78680,1,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-08 00:00:00,38.7,Machine Shop Started,
77630,1,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-08 00:00:00,36.9,Machine Shop Started,
77630,2,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-08 00:00:00,11.7,Machine Shop Started,
77630,3,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-08 00:00:00,11.7,Machine Shop Started,
76021,1,18,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-13 00:00:00,36.0,Machine Shop Started,
